Div_ID,Div_Code,Div_OrgID,Div_Number,Div_AccountNumber,Div_Name,Div_Description,Div_AddressLine1,Div_AddressLine2,Div_AddressLine3,Div_City,Div_StateProvence,Div_Country,Div_Region,Div_Telephone,Div_Fax,Div_TimeDiff,Div_President,Div_Secretary,Div_Treasurer,Div_TRIPSContact,Div_EmailTRIPSContact,Div_BCDContact,Div_EmailContact,Div_OtherBCDContact,Div_OtherEmailContact,Div_MsnryAcctContact,Div_EmailMsnryAcctContact,Div_GCAssocSecForDiv,Div_GCAssocSecID,Div_SecExt,Div_SEC_Desk,Div_TRIPS_Assoc,Div_Base_HRContact,Div_Base_SECContact,Div_Base_TREContact,Div_Base_TravelContact,Div_Host_HRContact,Div_Host_SECContact,Div_Host_TREContact,Div_Host_TravelContact,Div_EntryPerson,Div_EntryDate,Div_UpdatePerson,Div_UpdateDate,Div_AuditFlag,Div_CodeforProcessing
8,ESD,A51111,20,1700000032000001,Euro-Asia Division,NULL,"Krasnoyarskaya Street, 3","Golianovo, 107589",NULL,Moscow,NULL,116,NULL,7 (095) 468-6500,7 (095) 468-7463,8,Mikhail F. Kaminsky,Victor Alyeksyeyenko,Brent B. Burdick,Guillermo Caballero,NULL,Sergey Zhadan,secretariat@ead-sda.ru,Maria Kuning,mkuning@ead-sda.ru,NULL,NULL,Agustin Galicia,3737,"6658 ",NULL,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-07-05 09:41:45.847,U,ESD
9,EUD,AD1111,19,1700000031900001,Inter-European Division,NULL,P.O. Box 219,NULL,NULL,3000 Berne 32,NULL,133,NULL,41 (31) 359-15-15,41 (31) 359-15-66,6,Mario Brito,Barna Magyarosi,Norbert Zens,Pierre Guy,NULL,Gabriel Maurer,gabriel.maurer@euroafrica.org,Reto Mayer,reto.mayer@euroafrica.org,NULL,NULL,Claude Sabot,12989,"6663 ",3144,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 15:59:08.673,U,EUD
10,GC,A11111,00,1700000030000001,General Conference,,12501 Old Columbia Pike,NULL,20904-6600,Silver Spring,MD,144,,301-680-6000,301-680-6090,0,Jan Paulsen,Matthew A. Bediako,Robert E Lemon,LaVerne Korff,NULL,Phyllis Lemon,NULL,NULL,NULL,,NULL,Athal H. Tolhurst,NULL,"6644 ",3142,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Tolhurst, Linley",2002-04-14 00:00:00.000,NULL,GC
11,GC-ESD,NULL,NULL,NULL,GC-ESD (historical),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RLL,2005-09-14 00:00:00.000,RLL,2005-09-14 00:00:00.000,I,NULL
27,GMEU,AH1111,45,1700000034500001,Greater Middle East Union Mission (historical),NULL,P.O. Box 90-2026,Jdeidet El Metn,NULL,Metn,NULL,80,NULL,unknonwn,unknonwn,7,Homer Trecartin,unknonwn,unknonwn,Winnie Sim,NULL,NULL,NULL,NULL,NULL,unknonwn,NULL,Homer Trecartin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Walton, Katherine",2011-12-22 13:36:38.090,"Vasmout, Azanetta",2012-01-04 10:36:31.030,U,NULL
12,IAD,AG1111,23,1700000032300001,Inter-American Division,NULL,P.O. Box 140760,NULL,33114-0760,Miami,FL,144,NULL,(305) 443-7471,(305) 441-1814,0,Israel Leito,Elie Henry,Filiberto M. Verduzco,Beulah A. Peterson,NULL,Faye Reid,faye@interamerica.org,Elsada Murdock,murdockel@interamerica.org,NULL,NULL,Agustin Galicia,12988,"6658 ",4042,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 16:21:11.423,U,IAD
28,IF,AI1111,43,1700000034300001,Israel Field,NULL,P.O. Box 592,NULL,NULL,Jerusalem,NULL,68,NULL,Unknown,Unknown,6,Roger Robertson,Julio Mendez,Julio Mendez,Winnie Sim,NULL,Julio Mendez,jmendez@netvision.net.il,NULL,NULL,NULL,NULL,Unknown,12989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Walton, Katherine",2011-12-22 13:47:24.440,"Vasmout, Azanetta",2012-01-04 10:37:17.883,U,IF
29,MENA,AH1111,45,1700000034500001,Middle East and North Africa Union Mission,MENAUM is the official Acronym,P.O. Box 90-2026,Jdeibet El Meth,NULL,Meth,NULL,80,NULL,961 (1) 690-290,961 (1) 690-490,7,Homer Trecartin,Tibor Szilvasi,Donovan Cleary,NULL,NULL,Tibor Szilvasi,tibor.szilvasi@gmeuadventist.org,NULL,NULL,NULL,NULL,NULL,12989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Vasmout, Azanetta",2013-01-09 14:39:56.330,"Walton, Katherine",2021-10-25 19:17:28.730,U,MENA
13,NAD,AN1111,25,1700000032500001,North American Division,NULL,12501 Old Columbia Pike,NULL,20904-6600,Silver Spring,MD,144,NULL,(301) 680-6400,(301) 680-6464,0,Daniel R. Jackson,G. Alexander Bryant,G. Thomas Evans,Juan R. Prestol,NULL,Sharri Davenport,sharri.davenport@nad.adventist.org,NULL,NULL,NULL,NULL,Harold W. Baptiste,5388,"6408 ",NULL,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 16:01:46.530,U,NAD
14,NSD,AR1111,26,1700000032600001,Northern Asia-Pacific Division,NULL,"Sam Hee Plaza, 5th Floor",66 Chuyop-Dong,Ilsan-Gu,Koyang-Ci,Kyonggi-Do 411-370,76,NULL,82 (344) 910-1500,82 (344) 919-4412,10,Jairyong Lee,Yukata Inada,German Lust,Eun Hee Jo,NULL,Ivanette Osborn,ivanetteosborn@nsdadventist.org,Paul Song,sssong@nsdadventist.org,NULL,NULL,Douglas Clayville,3583,"6663 ",4042,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-07-09 09:33:33.207,U,NSD
15,SAD,AQ1111,31,1700000033100001,South American Division,NULL,Caixa Postal 02600,NULL,NULL,70279-970 Brasilia,DF,16,NULL,55 (61) 345-1818,55 (61) 345-6999,2,Erton Carlos Kohler,Edward Heidinger Zevellos,Marlon de Sousa Lopes,Guillermo Caballero,NULL,Ruben Lavooy,ruben.lavooy@adventistas.org.br,NULL,NULL,NULL,NULL,Agustin Galicia,12988,"6658 ",4042,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 16:23:46.627,U,SAD
16,SAU,NULL,41,1700000034100001,Southern Africa Union Conference (historical),,P.O. Box 468,NULL,NULL,Bloemfontein  9300,Free State,125,,27 (51) 447-8271,27 (51) 448-8059,7,V.S. Wakaba,G. Baxen,J. Bekker,Deleen Bouwer,NULL,,NULL,NULL,NULL,,NULL,Matthew A. Bediako,NULL,"6640 ",3136,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Tolhurst, Linley",2002-04-14 00:00:00.000,NULL,NULL
17,SID,AZ1111,30,1700000033000001,Southern Africa-Indian Ocean Division,NULL,P.O. Box H.G. 100,NULL,NULL,Highlands,Harare Zimbabwe,154,Africa,NULL,NULL,5,Paul S. Ratsara,Solomon Maphosa,Goodwell Nthani,NULL,NULL,Lindiwe Mbinga,mbingal@sid.adventist.org,Jean Mabuto,mabutoj@sid.adventist.org,NULL,NULL,Claude Sabot,5028,"6663 ",3136,3728,NULL,NULL,NULL,3093,NULL,NULL,NULL,3093,"Redmond, Amelia",2003-01-01 00:00:00.000,"Landless, Ros",2012-05-01 16:04:45.180,U,SID
18,SPD,AS1111,32,1700000033200001,South Pacific Division,NULL,148 Fox Valley Road,NULL,NULL,Wahroonga,N.S.W. 2076,6,NULL,61 (2) 9847 3333,61 (2) 9489 0943,9,Glenn C. Townend,Lionel Smith,Rodney G. Brady,David R. Potter,NULL,David R. Potter,dpotter@adventist.org.au,NULL,NULL,NULL,NULL,Athal H. Tolhurst,5119,"6644 ",5090,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 16:23:06.893,U,SPD
19,SSD,AT1111,36,1700000033600001,Southern Asia-Pacific Division,NULL,P.O. Box 040,NULL,NULL,Silang,Cavite 4118,110,NULL,NULL,NULL,11,Leonard A. Asoy,Saw Samuel,Max W. Langi,NULL,NULL,Peggy Guptill,pguptill@adventist.asia,Blinking Star F. Lobitana,blobitana@adventist.asia,Kevin K. Costello,kcostello@adventist.asia,Douglas Clayville,12989,"6652 ",3144,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 16:06:41.563,U,SSD
20,SUD,AU1111,33,1700000033300001,Southern Asia Division,NULL,Post Box 2,HCF,NULL,Hosur 635110,T.N.,65,NULL,91 (4344) 22170,91 (4344) 22090,9,Ezras Lakra,Wilson Measapogu,TBD,Brenda Robinson,NULL,Brenda Robinson,brendar@sud-adventist.org,NULL,NULL,NULL,NULL,Theodore T. Jones,12988,"6661 ",3144,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-07-05 09:42:56.510,U,SUD
21,TED,AY1111,38,1700000033800001,Trans-European Division,NULL,119 St. Peter's Street,NULL,AL1 3EY,"St. Albans, Herts",England,143,NULL,44 (1727) 860331,44 (1727) 866312,5,Rafaat Kamal,Audrey Andersson,Nenad Jepuranovic,Dean Papaioannou,NULL,Dean Papaioannou,dpapaioannou@ted-adventist.org,NULL,NULL,NULL,NULL,Claude Sabot,12989,"6663 ",3144,3075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 16:07:26.883,U,TED
25,TS1,NULL,NULL,NULL,Host Test Div (for testing only),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RLL,2011-03-29 00:00:00.000,RLL,2011-03-29 00:00:00.000,NULL,NULL
26,TS2,NULL,NULL,NULL,Base Test Div (for testing only),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,UNKN,NULL,NULL,NULL,Unknown (historical),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RLL,2005-09-14 00:00:00.000,RLL,2005-09-14 00:00:00.000,I,UNKN
23,WAD,A71111,40,1700000034000001,West-Central Africa Division,NULL,22 Boite Postale 1764,NULL,NULL,Abidjan 22,NULL,70,NULL,NULL,NULL,5,Elie Weick-Dido,Kingsley C. Anonaba,Emmanuel S. D. Manu,NULL,NULL,Sarah Opoku-Boateng,saraide65@gmail.com,Max W. Langi,mwlangi@gmail.com,NULL,NULL,"Claude Sabot             ",5028,"6663 ",3136,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Redmond, Amelia",2003-01-01 00:00:00.000,"Landless, Ros",2012-06-06 08:55:33.457,U,WAD
35,zERR,AH1111,45,1700000034500001,zDuplicate MENAUM (Historical),NULL,P.O. Box 90-2026,Jdeibet El Meth,NULL,Meth,NULL,80,NULL,961 (1) 690-290,961 (1) 690-490,7,Homer Trecartin,Tibor Szilvasi,Donovan Cleary,NULL,NULL,Tibor Szilvasi,tibor.szilvasi@gmeuadventist.org,NULL,NULL,NULL,NULL,NULL,12989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Vasmout, Azanetta",2013-01-09 14:39:56.330,"Vasmout, Azanetta",2013-01-09 14:40:23.577,U,MENA
