id,question
Question 90,Is there a designated director of Adventist Volunteer Services?
Question 91,Is there a directory of your organization with email addresses and phone numbers of employees?
Question 92,Is there a directory of your subsidiary organization with email addresses and phone numbers of employees?
Question 93,Is there a directory of your parent organization with email addresses and phone numbers?
Question 94,"Is there a directory  of all institutional boards, including their  chairs, secretaries, and members with email addresses and phone numbers?"
Question 95,Are there terms of reference for all institutional boards?
Question 96,Are there terms of references for all standing committees?
Question 97,"Is there a list of all standing committees, including the names of the chair persons, secretaries, and members?"
Question 98,"Is there a master schedule of your organization's appointments, itineraries, committees, and boards for the next six months?"
Question 99,Are job descriptions maintained for the Secretary and the office staff?
Question 100,Do you have disaster policies and procedures?
Question 101,Are the disaster policies and procedures reviewed and updated regularly?
Question 102,Are electronic records addressed in the disaster policies and procedures?
Question 103,"Is adequate space provided for Secretariat personnel, filing cabinets, binders and directories?"
Question 104,Is a fire extinguisher available in the officers' work area?
Question 105,Do you represent:
Question 106,Does the conference/mission have a system for tracking church membership transfers?
Question 107,Do church membership records include birth/marriage/death/date of baptism information?
Question 108,Was a church membership audit done within the last five years?
Question 109,Is there a date scheduled for the next church membership audit
Question 110,Are you using an electronic system for recording church membership?
Question 111,Are church membership lists easy to retrieve?
Question 112,Are church clerk records easy to access?
Question 113,Are statistical quarterly membership records easy to retrieve?
